	A_rep1	A_rep2	A_rep3	B_rep1	B_rep2	B_rep3
AP2A2	3523	2893	4443	4200	3871	5668
AP2B1	20750	18877	32614	17556	16908	21979
AP2M1	16552	14390	22379	27637	25555	35764
AP2S1	5432	4488	6909	6991	6440	9333
AP3B1	7707	7462	13244	6994	6961	8499
AP3B2	57	46	73	7	4	5
AP3D1	6237	5321	7847	7988	7069	10747
AP3M1	3091	3069	5615	3159	3084	3736
AP3M2	716	723	1239	1027	1033	1385
AP3S1	2858	2646	5204	3246	3200	3765
AP3S2	22	13	25	29	24	20
AP4B1	400	356	663	763	849	991
AP4B1-AS1	8	9	23	12	12	24
AP4E1	1160	1207	2171	1444	1474	1679
AP4M1	386	362	565	930	943	1305
AP4S1	171	171	331	212	215	273
AP5B1	4849	4042	5376	1927	1761	2558
AP5M1	2193	2088	3465	1253	1342	1495
AP5S1	1543	1313	1901	1228	1066	1604
AP5Z1	1258	1069	1458	3291	2992	4446
APAF1	778	777	1382	1272	1306	1591
APBA1	117	97	150	211	205	237
APBA2	617	507	690	1746	1543	2479
APBA3	588	527	613	878	752	1134
APBB1	340	275	395	1438	1251	1831
APBB2	2380	2152	3754	6648	6550	8305
APBB3	1271	1181	1865	1813	1676	2411
APC	4113	3789	6674	4050	4089	4755
APC2	85	76	94	231	201	320
APCDD1	18	13	19	0	0	0
APCDD1L	13	8	27	144	136	167
APCDD1L-AS1	2	4	7	13	11	10
APEH	6902	5820	9189	4242	4183	5920
APEX1	8499	7559	12426	7118	6885	8989
APEX2	1926	1554	2481	2349	2216	3159
APH1A	9544	8345	12683	7607	7360	9895
APH1B	419	374	713	472	460	613
API5	3611	3602	6795	4945	5102	5972
APIP	257	294	633	322	320	364
APITD1	39	26	67	32	45	56
APLF	260	223	428	263	245	313
APLN	14	11	9	16	17	21
APLNR	2	1	1	7	1	3
APLP1	98	101	109	704	643	982
APLP2	35618	31363	50846	45125	42360	56581
APMAP	7068	6259	9896	8410	8021	11109
APOA1	0	1	1	6	4	11
APOA1BP	2895	2658	3848	1989	1857	2406
APOA5	0	0	0	7	8	11
APOBEC2	6	8	17	14	10	12
APOBEC3A	5	1	7	0	0	0
APOBEC3B	222	213	351	85	75	102
APOBEC3C	870	749	1130	527	486	660
APOBEC3F	103	108	176	75	67	117
APOBEC3G	23	26	33	40	41	65
APOBR	14	13	29	4	2	5
APOC1	16	13	29	56	50	63
APOC3	0	0	0	5	8	0
APOD	272	227	353	35	36	42
APOE	52	37	49	51	36	73
APOL1	495	442	673	154	127	207
APOL2	785	671	1224	1005	1019	1297
APOL3	561	451	767	66	89	93
APOL6	1273	1172	2279	557	538	661
APOLD1	282	258	513	261	240	295
APOM	51	56	100	44	48	66
APOO	484	516	817	345	353	419
APOOL	647	599	1109	540	540	594
APOPT1	881	811	1376	1051	1012	1327
APP	30212	25880	43088	63850	60691	85330
APPBP2	1102	1069	2098	1473	1417	1754
APPL1	2004	1966	3814	1646	1669	1983
APPL2	1343	1236	2233	2896	2867	3705
APRT	7144	6054	8016	3926	3593	5344
APTX	2437	2127	3873	2476	2433	3079
AQP1	4	4	12	14	18	15
AQP10	63	58	84	6	9	16
AQP11	14	13	33	35	26	51
AQP3	9101	7682	10706	39	36	42
AQP6	5	1	4	3	3	6
AQP9	0	0	0	6	6	6
AQPEP	15	5	16	65	50	76
AQR	2541	2434	4160	2529	2360	2910
ARAF	3257	2806	4044	2715	2395	3779
ARAP1	5386	4679	6728	4901	4559	6859
ARAP2	868	849	1444	236	239	270
ARAP3	1581	1337	2276	5601	5156	7586
ARC	18	4	15	6	13	14
ARCN1	6776	6159	10845	13675	13176	16746
AREG	763	1086	6019	4202	4471	4031
ARF1	18087	15368	22923	30830	28807	42649
ARF3	9254	7900	12377	9993	9315	11876
ARF4	7615	6884	12430	19433	18673	22260
ARF5	8184	6985	10319	7686	6980	9649
ARF6	7184	6660	11157	6989	6528	8273
ARFGAP1	3838	3080	4652	11838	10722	15457
ARFGAP2	3803	3256	5193	4263	3974	5487
ARFGAP3	1259	1148	2153	3357	3259	4343
ARFGEF1	3148	2902	5062	2978	2940	3636
ARFGEF2	4836	4421	7466	4381	4383	5602
ARFIP1	1590	1529	2740	1571	1682	1859
ARFIP2	3355	2932	4883	3779	3723	5185
ARFRP1	2118	1777	2668	3414	3051	4787
ARG2	977	889	1538	1114	1081	1444
ARGLU1	3632	3112	4878	5047	4539	5968
ARHGAP1	4408	3586	5455	4910	4613	6441
ARHGAP10	1694	1562	2768	1437	1371	1705
ARHGAP11A	3903	3762	7764	3866	3945	4621
ARHGAP11B	150	112	241	112	112	163
ARHGAP12	1016	981	1897	1316	1354	1560
ARHGAP17	1153	967	1762	1826	1646	2327
ARHGAP18	768	711	1309	1148	1083	1271
ARHGAP19	916	830	1491	688	681	846
ARHGAP21	4288	3885	7098	10392	9859	12616
ARHGAP22	415	381	584	708	651	963
ARHGAP23	3444	2803	4162	4032	3549	4966
ARHGAP24	1542	1440	2537	1094	1035	1346
ARHGAP25	352	347	577	204	186	284
ARHGAP26	1308	1215	2136	770	762	1006
ARHGAP27	1519	1365	1951	981	905	1435
ARHGAP29	1278	1175	2384	1664	1610	1854
ARHGAP30	38	36	69	63	90	97
ARHGAP31	28	29	68	1311	1197	1646
ARHGAP32	2699	2452	3936	1348	1376	1762
ARHGAP33	934	765	1258	820	732	1072
ARHGAP35	5703	4953	8050	4095	3888	5283
ARHGAP39	395	305	443	450	430	578
ARHGAP4	30	22	30	14	17	24
ARHGAP40	506	432	858	1380	1395	1993
ARHGAP42	2	2	1	3	6	8
ARHGAP44	18	19	29	12	29	22
ARHGAP5	4683	4563	7917	5139	5335	6158
ARHGAP5-AS1	162	155	282	367	381	488
ARHGAP6	1	1	2	5	1	6
ARHGAP8	3	0	4	0	0	0
ARHGDIA	18324	14992	21047	30471	26673	43161
ARHGDIB	1288	1141	2137	4895	4645	6034
ARHGEF1	4541	3783	5419	7112	6513	10015
ARHGEF10	1933	1781	3004	4316	4106	5612
ARHGEF10L	423	374	516	856	771	1174
ARHGEF11	1807	1598	2617	2624	2520	3371
ARHGEF12	10277	9480	16429	7171	7076	8824
ARHGEF16	3082	2461	3435	167	180	233
ARHGEF17	1943	1562	2377	3190	2923	4280
ARHGEF18	2781	2483	3398	8571	7719	11957
ARHGEF19	796	630	984	336	326	463
ARHGEF2	2326	1978	3162	3719	3392	5088
ARHGEF25	28	16	28	141	126	175
ARHGEF26	34	36	67	109	159	160
ARHGEF28	1082	992	1815	3111	2893	3702
ARHGEF3	1319	1343	2137	779	711	922
ARHGEF33	10	4	18	17	5	14
ARHGEF35	223	213	421	166	132	214
ARHGEF37	3216	2814	4558	177	158	238
ARHGEF38	14	12	23	22	14	24
ARHGEF39	763	610	1189	390	363	454
ARHGEF4	3185	2675	4124	404	376	536
ARHGEF40	612	541	828	5694	5330	7910
ARHGEF5	694	616	1083	507	498	707
ARHGEF6	13	16	17	19	33	38
ARHGEF7	1845	1824	2909	1990	1856	2482
ARHGEF9	785	718	1235	1186	1244	1467
ARID1A	4996	4126	6291	5524	4864	6835
ARID1B	4525	3922	6095	2959	2844	3891
ARID2	1863	1715	2984	1552	1544	1915
ARID3A	95	77	103	408	343	523
ARID3B	275	270	375	270	257	376
ARID3C	9	5	5	2	10	9
ARID4A	802	752	1309	646	692	730
ARID4B	1871	1710	3110	2060	1967	2287
ARID5A	108	108	135	619	565	789
ARID5B	1566	1418	2357	186	200	183
ARIH1	2769	2615	4656	2939	2729	3524
ARIH2	2532	2225	4089	3573	3472	4626
ARIH2OS	29	30	44	41	43	51
ARL1	1583	1571	2804	2762	2726	3194
ARL10	29	29	40	51	55	96
ARL11	9	9	14	5	3	2
ARL13A	3	3	15	16	11	15
ARL13B	421	421	708	664	710	866
ARL14	118	139	265	30	24	39
ARL14EP	521	518	969	848	888	990
ARL15	1021	1132	1940	667	680	839
ARL16	594	517	1028	1409	1268	1896
ARL17A	51	50	104	70	70	96
ARL2	1296	1009	1390	1669	1478	2067
ARL2BP	3599	3372	5462	2529	2423	3023
ARL3	1237	1158	2202	2046	1958	2485
ARL4A	863	846	1562	432	480	494
ARL4C	2171	1851	2950	2313	2112	2847
ARL4D	3078	2632	4233	1230	1106	1655
ARL5A	4014	3906	7118	1543	1565	1814
ARL5B	932	953	1650	549	514	695
ARL6	129	134	213	147	165	181
ARL6IP1	13142	12369	24177	10004	9809	11607
ARL6IP4	5203	4220	6314	7871	6863	10120
ARL6IP5	6095	5791	10413	4338	4433	5713
ARL6IP6	935	1006	1599	1081	1060	1432
ARL8A	1060	912	1443	1352	1253	1895
ARL8B	4565	4436	8356	5313	5532	6730
ARL9	12	3	14	19	18	31
ARMC1	1937	1875	3332	2342	2403	2784
ARMC10	738	748	1468	659	633	794
ARMC12	48	37	78	42	62	75
ARMC2	98	85	200	130	132	188
ARMC4	20	19	38	8	15	10
ARMC5	1169	979	1154	1148	964	1417
ARMC6	1855	1537	2140	1810	1623	2427
ARMC7	688	556	927	695	624	852
ARMC8	1222	1088	2020	2175	2009	2657
ARMC9	529	449	772	2643	2608	3571
ARMCX1	7	2	12	160	171	194
ARMCX3	23	14	29	275	247	360
ARMCX4	27	19	62	53	61	86
ARMCX5	320	308	647	416	431	532
ARMCX5-GPRASP2	25	30	42	39	32	32
ARMS2	4	11	14	7	6	2
ARNT	2085	1987	3174	2356	2260	3146
ARNT2	106	90	134	38	32	51
ARNTL	1834	1678	3128	2750	2753	3480
ARNTL2	978	969	1815	754	752	899
ARPC1A	5362	4923	7846	6409	6359	8538
ARPC1B	7069	5982	8131	11755	10773	16829
ARPC2	26188	23673	39767	25215	24007	31636
ARPC3	3748	3510	6603	5908	5832	7273
ARPC4	3536	3083	4919	4884	4409	5407
ARPC5	5683	5418	9751	8918	8600	11061
ARPC5L	3637	3363	5877	4716	4456	5886
ARPP19	5540	5582	11589	6108	5967	6628
ARR3	29	27	41	46	57	66
ARRB1	57	46	62	267	210	278
ARRB2	1312	1005	1738	604	545	828
ARRDC1	5237	4337	5951	3389	2911	4487
ARRDC2	954	803	1292	3835	3616	5436
ARRDC3	5133	4969	9000	1710	1799	2086
ARRDC3-AS1	41	32	42	102	89	155
ARRDC4	1312	1300	2360	302	333	368
ARSA	1540	1152	1857	2250	2063	2973
ARSB	285	274	541	1281	1186	1666
ARSD	1064	903	1457	813	801	1078
ARSE	8	6	6	7	12	17
ARSG	124	122	183	53	45	53
ARSI	113	114	117	105	89	119
ARSJ	610	545	947	807	724	987
ARSK	440	454	1021	757	683	858
ART3	4	2	10	4	1	3
ARTN	1166	961	1618	166	121	205
ARV1	1040	997	1923	647	691	779
ARVCF	539	452	529	250	191	356
ASAH1	2854	2608	4741	2226	2260	2847
ASAH2B	8	6	23	32	37	45
ASAP1	1974	1783	3300	3895	3739	4736
ASAP2	3111	2880	5043	8069	7780	9906
ASAP3	544	453	800	763	666	998
ASB1	2813	2460	4134	5723	5566	7634
ASB13	1063	932	1432	1372	1345	1846
ASB14	25	17	48	45	44	55
ASB16	63	59	125	108	103	189
ASB16-AS1	224	181	335	348	343	358
ASB2	49	38	40	1	2	4
ASB3	11	10	19	31	25	40
ASB6	1729	1457	2216	2689	2515	3593
ASB7	730	637	1097	844	796	1158
ASB8	624	553	1125	706	633	874
ASB9	116	99	200	36	20	32
ASB9P1	3	6	2	3	1	2
ASCC1	839	756	1465	933	931	1126
ASCC2	3222	2661	4391	3684	3465	5048
ASCC3	3391	3276	6022	4535	4652	5681
ASCL2	155	124	179	7	5	7
ASCL5	0	0	1	5	2	8
ASF1A	794	804	1497	1462	1394	1761
ASF1B	2397	2078	3325	2907	2792	3721
ASGR1	1	1	1	29	35	49
ASH1L	4230	3823	6373	3554	3480	4504
ASH1L-AS1	103	86	176	122	125	154
ASH2L	2100	1952	3389	2223	2115	2826
ASIC1	500	414	701	282	291	395
ASIC3	80	57	100	56	42	74
ASIP	3	9	14	1	4	7
ASL	1109	989	1542	3341	3219	4518
ASNA1	3640	3072	4868	4121	3913	5608
ASNS	1298	1147	2815	437	472	496
ASNSD1	1820	1810	3393	2271	2264	2703
ASPDH	1	3	3	6	7	8
ASPG	3	2	7	0	1	1
ASPH	6379	5950	10842	11429	11021	13708
ASPHD1	52	52	69	195	174	272
ASPHD2	153	112	192	498	518	663
ASPM	7691	7431	13772	4833	4897	5631
ASPRV1	23	22	27	51	46	62
ASPSCR1	1068	872	1268	1094	960	1390
ASRGL1	25	23	35	80	76	76
ASS1	12621	10827	16751	1820	1762	2392
ASTE1	152	131	250	244	246	280
ASTN2	43	24	45	33	42	63
ASUN	2174	1988	3675	1707	1675	1937
ASXL1	6530	5553	9639	8510	8265	11406
ASXL2	2930	2584	3798	2551	2516	3152
ATAD1	2400	2224	4039	2735	2623	3239
ATAD2	2920	2816	5004	4319	4359	5055
ATAD2B	960	907	1519	881	826	992
ATAD3A	770	671	949	1721	1479	2280
ATAD3B	399	312	447	1014	936	1323
ATAD3C	167	140	213	49	19	42
ATAD5	462	467	894	538	493	664
ATAT1	234	211	400	468	470	627
ATE1	580	521	871	531	510	690
ATF1	1215	1268	2027	1142	1154	1406
ATF2	1649	1581	2740	1872	1941	2172
ATF3	270	213	455	217	189	214
ATF4	13797	11821	21685	18120	17298	22086
ATF5	971	809	1275	1133	1008	1398
ATF6	2587	2535	4601	2789	2810	3652
ATF6B	5485	4787	7434	5146	4920	7051
ATF7	1877	1571	2760	1929	1820	2344
ATF7IP	2389	2205	3542	1636	1560	2123
ATF7IP2	79	88	141	37	44	64
ATG10	533	477	933	481	452	527
ATG12	2236	2104	4190	3253	3209	3956
ATG13	3294	2891	4889	5938	5591	7557
ATG14	944	826	1467	908	910	1144
ATG16L1	2021	1794	2790	1708	1660	2244
ATG16L2	363	319	502	1140	956	1390
ATG2A	2694	2115	3027	2350	2123	3418
ATG2B	1714	1716	2933	1969	1923	2397
ATG3	2249	2050	3749	2727	2719	3349
ATG4A	555	524	942	639	612	761
ATG4B	2035	1754	2542	2693	2391	3572
ATG4C	610	565	1038	525	595	655
ATG4D	1137	935	1198	714	607	919
ATG5	1566	1598	2929	2329	2254	2788
ATG7	966	838	1414	1212	1232	1713
ATG9A	4709	3932	5940	7030	6382	9033
ATG9B	11	8	15	4	2	4
ATHL1	549	459	756	1796	1747	2616
ATIC	4083	3904	6493	5094	5061	6899
ATL1	199	186	314	127	118	152
ATL2	3043	2965	5558	1627	1616	1947
ATL3	1728	1538	2797	1671	1579	2248
ATM	2556	2493	4354	3215	3308	3754
ATMIN	2003	1788	3443	2468	2446	3092
ATN1	7785	6068	8808	10812	9375	13394
ATOH8	53	38	60	299	294	339
ATOX1	2119	1961	3079	3922	3775	5055
ATP10B	22	32	57	3	1	2
ATP10D	2773	2515	4275	1922	1871	2497
ATP11A	1607	1330	2123	2589	2489	3616
ATP11B	3285	3163	5561	2615	2716	3319
ATP11C	781	706	1409	1944	1924	2244
ATP13A1	3043	2584	3653	3569	3443	5080
ATP13A2	1821	1558	2115	6524	5728	8870
ATP13A3	4721	4560	8258	6625	6734	7778
ATP13A4	4	3	13	3	3	6
ATP1A1	61274	54314	88557	18965	18160	25100
ATP1A1OS	75	52	115	157	155	205
ATP1A3	32	20	36	12	10	23
ATP1B1	5522	5058	9052	7434	7114	8898
ATP1B3	11982	10820	18155	5371	5179	6648
ATP2A1	47	44	80	65	58	105
ATP2A2	19440	17552	30137	19804	19244	26906
ATP2A3	3	3	1	9	9	13
ATP2B1	2110	2027	3792	2804	2731	3407
ATP2B4	10533	9294	15645	2154	2012	2770
ATP2C1	4217	3952	7314	3211	3252	4083
ATP2C2	145	133	289	91	97	129
ATP5A1	25756	23791	39431	14554	14036	18881
ATP5B	57425	51031	83771	31816	31056	42164
ATP5C1	10912	10344	18759	7412	7224	8901
ATP5D	5486	4327	5637	3071	2834	4370
ATP5E	66	43	80	97	70	112
ATP5EP2	389	382	614	522	578	654
ATP5F1	7013	6469	11844	4927	5064	6196
ATP5G1	4425	3680	6241	2507	2543	3206
ATP5G2	10317	8546	12421	6905	6390	8489
ATP5G3	16200	14087	23730	9706	9150	11673
ATP5H	7148	6951	12748	6160	6443	7768
ATP5I	5310	4242	7154	3722	3727	4901
ATP5J	5145	5232	9364	3572	3641	4159
ATP5J2	2034	1885	3083	1766	1761	2150
ATP5L	6816	6095	10624	4992	4717	6142
ATP5L2	5	3	5	2	0	6
ATP5O	10515	9539	17146	6246	6475	7733
ATP5S	335	288	604	305	307	337
ATP5SL	3038	2535	3851	3379	3176	4596
ATP6AP1	5357	4579	6881	7210	6695	9730
ATP6AP1L	117	92	182	104	96	137
ATP6AP2	3719	3559	6471	6941	6741	8557
ATP6V0A1	2466	2211	3482	2214	2090	2830
ATP6V0A2	652	609	1079	1159	1047	1323
ATP6V0A4	4	2	4	50	46	54
ATP6V0B	3992	3530	5246	4123	3875	5421
ATP6V0C	7555	6162	7386	7124	5822	8882
ATP6V0D1	4870	4236	6179	5956	5400	7600
ATP6V0E1	6522	5764	9969	7146	6801	8831
ATP6V0E2	761	665	850	161	136	182
ATP6V0E2-AS1	15	14	17	25	30	25
ATP6V1A	3765	3572	7060	1894	1822	2146
ATP6V1B1	20	17	33	3	2	0
ATP6V1B2	3369	3031	5249	5102	4971	6346
ATP6V1C1	2042	1919	3764	2973	2866	3506
ATP6V1C2	92	90	152	73	53	73
ATP6V1D	3293	2981	5490	5693	5609	6781
ATP6V1E1	4500	3904	6955	5619	5331	6905
ATP6V1E2	113	78	170	80	78	114
ATP6V1F	4335	3791	5528	3861	3521	4901
ATP6V1G1	6950	6494	11651	8016	8007	10381
ATP6V1G2	31	23	59	22	17	24
ATP6V1H	2631	2599	4505	2315	2306	3158
ATP7A	480	447	882	482	492	632
ATP7B	445	388	634	538	543	723
ATP8A1	61	64	116	24	21	33
ATP8A2	1	0	0	70	52	92
ATP8B1	1479	1468	2937	101	93	123
ATP8B2	305	258	430	1120	1013	1480
ATP8B3	207	171	285	336	286	459
ATP8B4	38	48	46	2	1	1
ATP8B5P	31	11	37	32	29	45
ATP9A	1226	1082	1668	590	535	785
ATP9B	741	613	1016	649	625	940
ATPAF1	2379	2212	4074	1566	1566	1959
ATPAF2	925	809	1174	645	562	758
ATPBD4	213	239	457	262	244	258
ATPBD4-AS1	15	5	12	3	12	8
ATPIF1	4610	3994	6469	3611	3516	4772
ATR	1570	1545	2748	1750	1712	1965
ATRAID	3910	3384	5461	3861	3659	4959
ATRIP	723	602	1108	751	808	1042
ATRN	6465	6003	9973	8106	7723	10455
ATRX	2973	2849	5086	3018	3036	3393
ATXN1	1248	1142	1758	1220	1158	1502
ATXN10	4299	3902	7077	5069	5039	6371
ATXN1L	3370	3003	4768	4180	4133	5572
ATXN2	1622	1466	2478	2083	1924	2788
ATXN2L	5908	5004	7762	7881	7233	10368
ATXN3	894	931	1596	842	873	1038
ATXN7	1548	1530	2581	1758	1781	2234
ATXN7L1	662	533	877	454	455	548
ATXN7L2	401	318	536	584	538	776
ATXN7L3	3364	2964	4509	4573	4287	5750
ATXN7L3B	3119	2780	4790	3744	3531	4628
AUH	735	722	1226	488	517	678
AUNIP	448	353	717	506	461	640
AUP1	6116	5051	7952	6646	6231	8476
AURKA	5987	5318	10133	3172	3151	4079
AURKAIP1	4049	3292	4412	4482	3968	5825
AURKAPS1	91	111	193	109	111	122
AURKB	2593	2232	3479	2578	2478	3259
AURKC	6	8	12	26	14	27
AUTS2	1685	1454	2099	1877	1733	2180
AVEN	501	407	745	1140	1072	1267
AVIL	93	58	121	138	135	186
AVL9	928	827	1256	970	987	1344
AVPI1	3128	2641	4051	876	927	1244
AXDND1	6	6	15	10	7	17
AXIN1	2645	2144	2986	1818	1611	2633
AXIN2	104	87	168	213	188	329
AXL	1436	1177	2072	7970	7225	10271
AZGP1	6	8	13	4	1	1
AZI1	1127	927	1284	1223	1097	1568
AZI2	3348	3268	6006	2718	2686	3217
AZIN1	5135	4998	9026	5889	5966	7294
B2M	33597	32773	56649	27278	27573	33217
B3GALNT1	160	141	304	427	396	528
B3GALNT2	868	792	1609	694	706	856
B3GALT4	139	156	190	84	69	103
B3GALT5	0	0	0	49	58	112
B3GALT6	846	709	910	1586	1380	1951
B3GALTL	396	351	703	1110	1120	1279
B3GAT3	1057	790	1309	1788	1573	2379
B3GNT1	446	367	540	841	698	1016
B3GNT2	1133	1076	1914	1323	1289	1634
B3GNT3	155	138	224	178	128	217
B3GNT4	74	68	108	67	59	88
B3GNT5	9298	9027	16208	6926	7138	8168
B3GNT7	0	5	1	28	12	15
B3GNT8	42	47	44	56	57	77
B3GNT9	167	146	160	593	499	761
B3GNTL1	173	161	219	230	203	291
B4GALNT1	34	30	58	237	246	335
B4GALNT2	75	62	101	9	5	14
B4GALNT3	346	296	456	31	43	55
B4GALNT4	459	363	488	864	756	1062
B4GALT1	31025	27535	43370	29799	27690	37632
B4GALT2	2557	2086	2917	5269	4787	6824
B4GALT3	1035	914	1463	1567	1377	1913
B4GALT4	464	474	875	894	873	1115
B4GALT5	2475	2369	3801	3319	3053	4053
B4GALT6	160	165	281	566	587	709
B4GALT7	1454	1200	1699	2606	2338	3474
B9D1	369	333	512	654	660	889
B9D2	142	106	192	184	185	258
BAALC	10	6	5	8	2	12
BAAT	12	16	23	37	29	60
BABAM1	2979	2591	4078	4178	3877	5437
BACE1	1460	1357	2147	2752	2486	3418
BACE1-AS	18	17	34	24	23	26
BACE2	1124	1008	1715	1876	1762	2510
BACH1	3833	3733	7143	2650	2513	3105
BACH2	150	132	231	549	501	703
BAD	1792	1551	2153	2586	2166	3203
BAG1	8978	7995	12433	2883	2780	3590
BAG2	205	190	395	312	311	436
BAG3	13468	11510	17017	8455	7983	11421
BAG4	723	710	1190	589	595	698
BAG5	3203	3101	5543	2859	2826	3489
BAG6	10696	8725	12829	11626	11041	15701
BAHCC1	803	664	859	805	728	1046
BAHD1	1816	1480	2130	1587	1494	2164
BAI1	7	3	7	6	5	5
BAI2	89	82	118	258	213	312
BAIAP2	3742	3136	4593	2970	2724	4131
BAIAP2-AS1	391	336	604	494	429	679
BAIAP2L1	2747	2428	4209	2785	2577	3689
BAIAP2L2	23	12	11	25	14	12
BAIAP3	44	29	50	15	11	15
BAK1	2312	1945	2959	2686	2591	3520
BAMBI	3	4	7	25	34	56
BANF1	3879	3514	5759	5453	4901	6421
BANK1	16	24	44	14	15	13
BANP	391	300	427	575	499	770
BAP1	5206	4403	6733	4902	4544	6406
BARD1	546	489	830	325	356	429
BARX2	746	591	862	7	3	10
BASP1	6136	5030	7450	13519	11886	15428
BATF2	28	32	40	20	14	42
BATF3	3	0	1	25	18	35
BAX	1412	1254	1915	2517	2449	3068
BAZ1A	3377	3095	5593	4129	4108	4987
BAZ1B	4766	4253	7005	6441	6173	7919
BAZ2A	7525	6252	10233	7918	7644	10724
BAZ2B	2403	2275	3782	3220	3293	3961
BBC3	223	204	193	177	125	191
BBIP1	355	358	761	830	764	1023
BBOX1	734	666	1301	6	4	3
BBS1	1249	1066	1691	1406	1288	1791
BBS10	841	827	1496	1077	1045	1340
BBS12	196	187	347	396	327	466
BBS2	1856	1786	2969	1825	1876	2582
BBS4	656	616	1130	698	685	829
BBS5	232	209	328	363	308	433
BBS7	832	870	1435	1167	1177	1494
BBS9	448	366	673	442	417	553
BBX	5112	4847	8380	5246	5162	6089
BCAM	4818	3793	5353	198	163	249
BCAN	39	35	51	7	4	3
BCAP29	1738	1701	3336	3767	3788	4209
BCAP31	10111	8301	12522	11342	10490	14677
BCAR1	8489	6814	8464	8126	7021	11443
BCAR3	2986	2645	4184	5920	5568	8310
BCAS1	5	2	6	2	2	2
BCAS2	1258	1285	2626	1762	1810	2045
BCAS3	1206	1089	1644	1006	950	1306
BCAS4	602	530	696	1106	928	1409
BCAT1	70	77	158	1691	1800	1857
BCAT2	3032	2633	3532	1238	1136	1754
BCCIP	2556	2405	4380	3004	3003	3762
BCDIN3D	83	89	185	103	96	105
BCDIN3D-AS1	17	14	34	28	25	29
BCKDHA	2631	2201	3238	1825	1631	2470
BCKDHB	967	901	1821	400	368	517
BCKDK	2006	1589	2239	2808	2513	3854
BCL10	2952	2802	5614	993	965	1179
BCL11A	337	313	522	429	398	506
BCL11B	581	495	987	56	43	64
BCL2	58	55	97	251	257	271
BCL2A1	3	1	6	102	98	103
BCL2L1	5702	4754	7677	9723	8871	12162
BCL2L10	9	14	13	4	10	10
BCL2L11	1781	1699	2800	392	343	466
BCL2L12	1141	995	1358	960	890	1258
BCL2L13	3393	3078	5173	2510	2309	3236
BCL2L14	3	2	5	9	6	6
BCL2L15	5	5	11	34	32	32
BCL2L2	1445	1312	2473	2030	1970	2716
BCL3	4071	3220	4319	1075	979	1516
BCL6	1616	1374	2326	996	942	1357
BCL7A	1212	1029	1521	654	598	890
BCL7B	2667	2198	3212	2569	2363	3328
BCL7C	1333	1063	1499	1330	1264	1734
BCL9	1083	989	1505	1056	996	1257
BCL9L	8937	7300	10373	17683	15455	23921
BCLAF1	7684	7381	13372	9841	10050	11561
BCO2	39	26	80	24	30	32
BCOR	1097	976	1438	2921	2673	4169
BCORL1	323	248	338	386	325	523
BCORP1	2	1	4	7	5	4
BCR	4561	3891	5401	5074	4626	6983
BCS1L	1490	1267	2165	1501	1454	2151
BDH1	1796	1537	2378	940	815	1159
BDH2	676	573	1133	753	701	916
BDKRB1	162	149	220	33	29	37
BDKRB2	882	820	1343	294	304	410
BDNF	30	37	67	572	546	609
BDNF-AS	64	60	112	64	47	76
BDP1	4523	4367	7178	3789	3977	4525
BEAN1	5	3	3	40	27	69
BECN1	2340	2074	3622	2840	2757	3973
BEGAIN	11	6	8	21	17	25
BEND3	233	228	332	303	286	371
BEND3P3	145	148	306	354	296	451
BEND6	12	8	14	50	54	56
BEND7	29	37	63	199	151	187
BEST1	34	20	27	137	93	157
BEST2	35	28	39	6	1	7
BEST4	8	8	22	27	28	42
BET1	699	661	1319	1442	1529	1692
BET1L	2979	2553	3985	4713	4359	6126
BEX2	84	71	115	23	25	40
BEX4	6	4	10	17	7	13
BEX5	1	1	1	11	7	10
BFAR	2778	2397	4437	3830	3812	5030
BFSP1	186	177	305	148	174	206
BGLAP	1	0	5	3	4	13
BGN	91	52	107	245	197	280
BHLHB9	179	177	323	143	115	181
BHLHE40	6174	5368	9560	20549	19411	25919
BHLHE40-AS1	6	2	14	7	11	10
BHLHE41	176	177	310	58	36	59
BHMT	10	6	8	1	7	7
BICC1	182	169	364	1179	1144	1455
BICD1	531	486	784	612	575	775
BICD2	10461	8944	13322	7011	6597	10135
BID	555	484	811	717	686	993
BIK	59	56	67	16	7	20
BIN1	212	177	240	2127	2022	2730
BIN3	1246	1069	1788	1137	1143	1703
BIRC2	2471	2327	4319	5737	5705	6493
BIRC3	1380	1343	2655	703	771	943
BIRC5	4577	4047	7432	4015	3896	4794
BIRC6	4876	4472	7576	4928	4820	6188
BIVM	442	401	1000	831	808	897
BLCAP	11007	9564	15052	9344	8712	11598
BLM	784	752	1467	1168	1190	1388
BLMH	1458	1340	2542	2597	2570	3412
BLNK	279	237	340	3	7	12
BLOC1S1	253	179	380	273	241	310
BLOC1S2	1675	1709	3151	3033	3093	3725
BLOC1S3	758	654	1005	1337	1268	1704
BLOC1S4	492	406	599	705	624	954
BLOC1S6	954	873	2469	1880	1785	2121
BLVRA	1843	1622	2743	1695	1609	2139
BLVRB	3188	2687	3611	1265	1218	1745
BLZF1	1229	1238	2226	1630	1633	1980
BMF	360	297	476	1508	1468	1984
BMI1	28	22	32	44	43	51
BMP1	3216	2648	4242	14047	12854	19060
BMP2	416	366	562	2084	2060	2655
BMP2K	1068	1006	1731	951	995	1288
BMP4	24	14	31	27	30	38
BMP6	9	8	10	854	780	1068
BMP7	178	171	256	1	3	1
